(38.165921,31.826171)
(43.926399,51.512904)
(40.218383,25.830478)
(37.007888,23.390874)
(10.596864,21.292238)
(9.810252,37.040152)
(30.697087,38.237880)
(44.524065,1.300162)
(53.621413,32.895600)
(24.105637,18.211710)
(17.080694,30.181884)
(14.968230,61.212662)
(9.901592,3.867014)
(25.517959,22.381586)
(48.326930,6.712199)
(47.830969,24.545923)
(41.863412,36.506550)
(4.283850,1.314314)
(39.256123,39.568542)
(17.574070,49.539690)
(16.613983,15.313221)
(44.821380,16.824440)
(25.079389,36.190807)
(41.631855,48.784700)
(36.089325,1.969611)
(49.869550,6.231445)
(13.563861,4.590365)
(11.786442,33.934778)
(39.411093,41.501007)
(43.445349,56.689255)
(28.215009,54.499665)
(23.969874,33.371299)
(46.497326,26.312729)
(4.504675,39.895229)
(45.745446,10.527107)
(57.356329,33.291946)
(0.533068,44.202980)
(32.484412,34.983444)
(16.663681,30.481115)
(18.808169,24.477256)
(46.620532,28.401843)
(26.085162,18.369760)
(37.673596,6.709867)
(16.040847,2.844164)
(5.773401,34.204643)
(27.931299,36.711816)
(32.861174,12.071021)
(22.272073,38.017400)
(22.491922,25.916729)
(9.865794,16.832482)
(14.826875,4.581872)
(38.636597,22.155039)
(7.917695,7.302641)
(30.472429,24.938986)
(49.923593,0.610698)
(33.920917,23.377292)
(54.408717,9.884246)
(29.101759,8.145169)
(8.523877,18.249126)
(21.056590,8.939766)
(11.277610,40.432027)
(7.409421,37.635179)
(56.776789,40.599036)
(21.761200,38.851613)
(54.809526,43.960218)
(25.672076,53.178711)
(30.383622,43.151421)
(37.941595,5.143560)
(18.437919,52.950373)
(0.403588,30.340367)
(10.125802,6.186008)
(51.734604,5.434682)
(51.148929,45.403219)
(49.830377,0.808961)
(7.256509,2.727649)
(28.771456,47.568164)
(2.123589,40.467461)
(18.157553,8.779163)
(34.165830,35.127271)
(57.841676,50.822288)
(1.783407,9.345640)
(27.788185,1.724444)
(48.268705,0.214666)
(4.794173,4.605987)
(38.517751,7.357975)
(42.614719,8.448382)
(22.355613,31.297645)
(25.007128,50.532095)
(17.892442,7.765264)
(23.523630,39.359755)
(43.360618,27.646051)
(10.938533,59.024742)
